segment,from,to,text
1,00:00:00.000,00:00:02.000,好啊
2,00:00:02.000,00:00:04.000,好奇怪喔
3,00:00:04.000,00:00:06.000,我的錄音地點是
4,00:00:06.000,00:00:08.000,你家附近嗎
5,00:00:08.000,00:00:10.000,你家附近有在賣模型嗎
6,00:00:10.000,00:00:12.000,好像是耶
7,00:00:12.000,00:00:14.000,好
8,00:00:14.000,00:00:16.000,就是你之前不是有寫
9,00:00:16.000,00:00:18.000,就是兩頁三頁的那個
10,00:00:18.000,00:00:20.000,啊
11,00:00:20.000,00:00:22.000,但你是不是沒有自己一份
12,00:00:22.000,00:00:24.000,還是被你丟掉了
13,00:00:24.000,00:00:26.000,喔我有超多份的
14,00:00:26.000,00:00:28.000,我想說
15,00:00:28.000,00:00:30.000,喔
16,00:00:30.000,00:00:32.000,你都印出來
17,00:00:32.000,00:00:34.000,跟檢察官講的那個嗎
18,00:00:34.000,00:00:36.000,對對對
19,00:00:36.000,00:00:38.000,我想說
20,00:00:38.000,00:00:40.000,就可以例如把一些
21,00:00:40.000,00:00:42.000,部分遮掉
22,00:00:42.000,00:00:44.000,然後給我同事看
23,00:00:44.000,00:00:46.000,因為我其實覺得那個東西就講滿詳細
24,00:00:46.000,00:00:48.000,喔
25,00:00:48.000,00:00:50.000,對
26,00:00:50.000,00:00:52.000,可以啊
27,00:00:52.000,00:00:54.000,好
28,00:00:54.000,00:00:56.000,那你可以先
29,00:00:56.000,00:00:58.000,有嗎你可以先拍給我嗎
30,00:00:58.000,00:01:00.000,回憶一下
31,00:01:00.000,00:01:02.000,我在
32,00:01:02.000,00:01:04.000,你給我三秒
33,00:01:04.000,00:01:06.000,好
34,00:01:06.000,00:01:08.000,因為我剛剛出去翻
35,00:01:08.000,00:01:10.000,我直接過牆了
36,00:01:10.000,00:01:12.000,找到一些東西
37,00:01:12.000,00:01:14.000,喔
38,00:01:14.000,00:01:16.000,我有那個手機的
39,00:01:16.000,00:01:18.000,我有存在我的
40,00:01:18.000,00:01:20.000,箱布裡
41,00:01:20.000,00:01:22.000,雲端
42,00:01:22.000,00:01:24.000,哈哈
43,00:01:24.000,00:01:26.000,哈哈
44,00:01:26.000,00:01:28.000,我可以直接傳給你喔
45,00:01:28.000,00:01:30.000,好啊好啊
46,00:01:30.000,00:01:32.000,那我給你我的
47,00:01:32.000,00:01:34.000,沒有
48,00:01:34.000,00:01:36.000,喔我可以傳給你
49,00:01:36.000,00:01:38.000,傳到你的LINE嗎
50,00:01:38.000,00:01:40.000,喔可以啊可以可以
51,00:01:40.000,00:01:42.000,我找一下
52,00:01:42.000,00:01:44.000,但我不知道要
53,00:01:44.000,00:01:46.000,遮哪一些東西
54,00:01:46.000,00:01:48.000,因為有些就是
55,00:01:52.000,00:01:54.000,沒關係
56,00:01:54.000,00:01:56.000,我可以看一下
57,00:01:56.000,00:01:58.000,我覺得主要是遮
58,00:01:58.000,00:02:00.000,這最後也會再給你完整討論
59,00:02:00.000,00:02:02.000,但主要遮名字跟
60,00:02:02.000,00:02:04.000,如果有古手村的幾個字
61,00:02:04.000,00:02:06.000,出現的話
62,00:02:06.000,00:02:08.000,就是一些可辨識的
63,00:02:08.000,00:02:10.000,我
64,00:02:10.000,00:02:12.000,我跟我同事是說
65,00:02:12.000,00:02:14.000,這是一個
66,00:02:14.000,00:02:16.000,爵士谷俱樂部
67,00:02:16.000,00:02:18.000,哈哈
68,00:02:18.000,00:02:20.000,我不知道我怎麼形容
69,00:02:20.000,00:02:22.000,那個村
70,00:02:22.000,00:02:24.000,那個村
71,00:02:24.000,00:02:26.000,可以
72,00:02:26.000,00:02:28.000,好
73,00:02:28.000,00:02:30.000,所以我就
74,00:02:30.000,00:02:32.000,不需要再跟你解釋
75,00:02:32.000,00:02:34.000,但我還是會
76,00:02:34.000,00:02:36.000,問一些
77,00:02:36.000,00:02:38.000,對對對
78,00:02:38.000,00:02:40.000,我先打開它
79,00:02:40.000,00:02:42.000,喔喔
80,00:02:42.000,00:02:44.000,有雲端版
81,00:02:44.000,00:02:46.000,你說什麼
82,00:02:46.000,00:02:48.000,就是名字好像
83,00:02:48.000,00:02:50.000,因為我很怕解釋
84,00:02:50.000,00:02:52.000,會問我太多東西
85,00:02:52.000,00:02:54.000,我不知道
86,00:02:54.000,00:02:56.000,我就把名字跟原住民的換算
87,00:02:56.000,00:02:58.000,我看到了
88,00:02:58.000,00:03:00.000,好好笑
89,00:03:00.000,00:03:02.000,好好笑
90,00:03:02.000,00:03:04.000,好
91,00:03:04.000,00:03:06.000,我先來看看
92,00:03:06.000,00:03:10.000,總之就是
93,00:03:10.000,00:03:12.000,這應該是這一兩禮拜
94,00:03:12.000,00:03:14.000,有可能
95,00:03:14.000,00:03:16.000,8月21日
